CGPA,Internships,Projects,AptitudeScore,SoftSkillsRating,Backlogs,PlacementTraining,PlacementStatus
8.869780242779816,4,1,96.33239412207708,8.59057468441349,3,Yes,Placed
7.194392198760261,5,7,96.85733638652371,7.786980030310434,1,Yes,Placed
9.292989599556913,3,0,72.16041154065559,5.510943248845265,3,Yes,Placed
8.486840145296819,2,2,55.05189307088225,6.407258364850255,1,Yes,Placed
5.470886739438248,0,4,84.35938675467045,7.603677925170434,1,No,Placed
9.87811175818378,3,7,79.69443426602406,3.6284179548249607,3,Yes,Placed
8.805698509951764,5,5,92.51946272917793,2.1619505974585627,2,Yes,Placed
8.93032152638477,0,7,91.1253470116609,2.55838894002198,2,No,Placed
5.640568163377729,1,3,56.70118346487693,4.466095809507987,3,No,Placed
7.251929689477835,3,6,75.03988276927696,1.1908768727617383,3,Yes,Placed
6.853990121162906,3,2,66.32914363318416,8.716717082863928,0,Yes,Placed
9.63382494424301,2,1,95.75600971837625,7.0029903048228626,1,No,Placed
8.219325600403323,0,7,64.5343322627841,4.320742496798742,3,Yes,Placed
9.11380806635415,2,5,43.805126148544865,4.1637196179447,1,Yes,Placed
7.217070994136655,3,0,69.38657475870154,4.8323774671929405,2,Yes,Placed
6.136193608923884,1,3,53.82218268891738,5.453958591504866,2,Yes,Placed
7.772923935079174,3,1,40.64131118935729,4.396753430996232,1,No,Placed
5.319086280520876,5,3,94.7242032961983,9.846140522773986,1,No,Placed
9.138155859962911,0,5,80.36179625984958,1.3123737716782506,0,Yes,Placed
8.158321995610324,0,1,47.029414356422336,7.160338591625575,2,Yes,Placed
8.790438700426868,3,7,62.76946356838776,6.319605277809041,1,Yes,Placed
6.7726298406493415,4,7,56.7197533805252,4.484617556197446,2,No,Placed
9.853490121974517,0,5,88.97744792547647,1.2413730978847983,2,Yes,Placed
9.465605606610989,5,2,81.80189014377574,7.58859871281184,0,Yes,Placed
8.89191748536881,2,1,46.591377514359614,1.2747737441372138,2,Yes,Placed
5.973193539259838,0,6,40.39761898167943,7.458308782291738,2,Yes,Placed
7.333605018635171,2,3,89.19114252784831,6.8979580602690245,2,Yes,Placed
5.219018828936144,2,0,95.99294441963798,3.546227741218704,3,No,Placed
5.771447460337739,2,3,97.71101327088972,2.626583702813753,2,Yes,Placed
8.415244766212274,3,6,47.13833348916832,5.8598381579675936,2,Yes,Placed
8.723810779539086,1,5,63.46512712257699,3.7474641779123425,2,No,Placed
9.83754866217105,5,6,47.339276658770295,8.17980391025446,1,No,Placed
6.629126790690759,1,5,96.06060317186383,3.0974033137552888,1,Yes,Placed
